"A-20",0
"B-17",0
"B-24",0
"B-24-T",0
"B-25-AT",0
"B-25-BM",0
"B-29",0
"F2A2",0
"F2A3",0
"F4F",0
"F4U",0
"F5U",0
"F6F",0
"F8F",0
"F8F2",0
"OS2U",0
"P-38",0
"P-39",0
"P-40",0
"P-47",0
"P-51",0
"P-80",0
"PBY",0
"PBY-T",0
"SB2C",0
"SBD",0
"TBD",0
"TBF",0
"Ventura",0

"A5M4",1
"A6M",1
"A7M",1
"B5N",1
"B7A",1
"D3A",1
"D4Y",1
"F1M",1
"G4M",1
"G4M-T",1
"G8N",1
"G10N",1
"H8K",1
"H8K2B",1
"J7WJ",1
"J7WP",1
"Ki-21",1
"Ki-43",1
"Ki-61",1
"Ki-67",1
"Ki-84",1
"Ki-96",1
"Ki-100",1
"Ki-100-1",1
"M6A",1
"N1K-J",1
"P1Y",1
"P1YS",1

"Barracuda2",2
"Beaufighter",2
"Blenheim4",2
"F2A2_ENG",2
"Huric2c",2
"LancasterB1",2
"Lancaster-T",2
"PBY_ENG",2
"PBY_ENG-T",2
"SeaFire",2
"SeaFuryFB11",2
"SeaHuric2c",2
"Spit5c",2
"Swordfish2",2
"TBF_ENG",2
"VampirFB9",2
"Ventura_ENG",2
"Walrus",2

"F2A2_HL",3
"FokkerD21",3
"OS2U_HL",3

"Ar196",4
"Ar234",4
"Bf109G10",4
"FW190A3",4
"Ju87D",4
"Ju88A4",4

"A-20_USSR",5
"I16t24",5
"Il2",5
"Il4",5
"La5FN",5
"OS2U_USSR",5
"PBY_USSR",5
"Spit5b",5
"Yak3",5
"Yak9T",5
